amplificatoare_image,amplificatoare_url,amplificatoare_nume,amplificatoare_nume_url,amplificatoare_pret,amplificatoare_putere
https://www.zeedoshop.ro/79575-home_default/power-dynamics-ppa50-100v-mixer-amplifier-50w.jpg,https://www.zeedoshop.ro/produs_power-dynamics-ppa50-100v-mixer-amplifier-50w_40383_0,"Mixer-Amplificator 50 W 100V
Power Dynamics PPA50 100V Mixer-Amplifier 50W",https://www.zeedoshop.ro/produs_power-dynamics-ppa50-100v-mixer-amplifier-50w_40383_0,611 Lei,50 W
https://www.zeedoshop.ro/58303-home_default/omnitronic-mpz-180-6p.jpg,https://www.zeedoshop.ro/produs_omnitronic-mpz-180-6p_33870_0,"Amplificator de putere PA
Omnitronic MPZ-180.6P",https://www.zeedoshop.ro/produs_omnitronic-mpz-180-6p_33870_0,"1,749 Lei",150W
https://www.zeedoshop.ro/49680-home_default/audac-epa-152.jpg,https://www.zeedoshop.ro/produs_audac-epa-152_32472_0,"Amplificator audio
Audac EPA 152",https://www.zeedoshop.ro/produs_audac-epa-152_32472_0,"2,089 Lei",200W
https://www.zeedoshop.ro/49678-home_default/audac-epa-104.jpg,https://www.zeedoshop.ro/produs_audac-epa-104_32471_0,"Amplificator audio
Audac EPA 104",https://www.zeedoshop.ro/produs_audac-epa-104_32471_0,"2,559 Lei",50 W
https://www.zeedoshop.ro/41161-home_default/ld-systems-dp-4950.jpg,https://www.zeedoshop.ro/produs_ld-systems-dp-4950_30453_0,"Amplificator audio
LD Systems DP 4950",https://www.zeedoshop.ro/produs_ld-systems-dp-4950_30453_0,"2,849 Lei",150W
https://www.zeedoshop.ro/49686-home_default/audac-epa-502.jpg,https://www.zeedoshop.ro/produs_audac-epa-502_32475_0,"Amplificator audio
Audac EPA 502",https://www.zeedoshop.ro/produs_audac-epa-502_32475_0,"3,095 Lei",50 W
https://www.zeedoshop.ro/49684-home_default/audac-epa-254.jpg,https://www.zeedoshop.ro/produs_audac-epa-254_32474_0,"Amplificator audio
Audac EPA 254",https://www.zeedoshop.ro/produs_audac-epa-254_32474_0,"3,245 Lei",150W
https://www.zeedoshop.ro/42758-home_default/audac-sma-350.jpg,https://www.zeedoshop.ro/produs_audac-sma-350_30606_0,"Amplificator audio
Audac SMA 350",https://www.zeedoshop.ro/produs_audac-sma-350_30606_0,"3,769 Lei",200W
https://www.zeedoshop.ro/42764-home_default/audac-smq-350.jpg,https://www.zeedoshop.ro/produs_audac-smq-350_30609_0,"Amplificator audio
Audac SMQ 350",https://www.zeedoshop.ro/produs_audac-smq-350_30609_0,"5,475 Lei",150W
https://www.zeedoshop.ro/54020-home_default/dynacord-powerh-2500.jpg,https://www.zeedoshop.ro/produs_dynacord-powerh-2500_32791_0,"Amplificator de putere 2 x 1450 W
Dynacord PowerH 2500",https://www.zeedoshop.ro/produs_dynacord-powerh-2500_32791_0,"16,339 Lei",150W
https://www.zeedoshop.ro/30438-home_default/qsc-gxd4.jpg,https://www.zeedoshop.ro/produs_qsc-gxd4_28652_0,"Amplificator audio
QSC GXD4",https://www.zeedoshop.ro/produs_qsc-gxd4_28652_0,"2,362 Lei",150W
https://www.zeedoshop.ro/30430-home_default/qsc-gx7.jpg,https://www.zeedoshop.ro/produs_qsc-gx7_28651_0,"Amplificator audio
QSC GX7",https://www.zeedoshop.ro/produs_qsc-gx7_28651_0,"2,902 Lei",200W
https://www.zeedoshop.ro/41164-home_default/ld-systems-dj-300.jpg,https://www.zeedoshop.ro/produs_ld-systems-dj-300_30454_0,"Amplificator audio
LD Systems DJ 300",https://www.zeedoshop.ro/produs_ld-systems-dj-300_30454_0,"1,019 Lei",150W
https://www.zeedoshop.ro/41190-home_default/ld-systems-xs-200.jpg,https://www.zeedoshop.ro/produs_ld-systems-xs-200_30463_0,"Amplificator audio
LD Systems XS 200",https://www.zeedoshop.ro/produs_ld-systems-xs-200_30463_0,"1,049 Lei",150W
https://www.zeedoshop.ro/42738-home_default/audac-amp-20-mk2.jpg,https://www.zeedoshop.ro/produs_audac-amp-20-mk2_30597_0,"Amplificator audio
Audac AMP 20 MK2",https://www.zeedoshop.ro/produs_audac-amp-20-mk2_30597_0,"1,049 Lei",150W
https://www.zeedoshop.ro/41168-home_default/ld-systems-dj-500.jpg,https://www.zeedoshop.ro/produs_ld-systems-dj-500_30455_0,"Amplificator audio
LD Systems DJ 500",https://www.zeedoshop.ro/produs_ld-systems-dj-500_30455_0,"1,159 Lei",150W
https://www.zeedoshop.ro/41195-home_default/ld-systems-xs-400.jpg,https://www.zeedoshop.ro/produs_ld-systems-xs-400_30464_0,"Amplificator audio
LD Systems XS 400",https://www.zeedoshop.ro/produs_ld-systems-xs-400_30464_0,"1,179 Lei",150W
https://www.zeedoshop.ro/41172-home_default/ld-systems-dj-800.jpg,https://www.zeedoshop.ro/produs_ld-systems-dj-800_30456_0,"Amplificator audio
LD Systems DJ 800",https://www.zeedoshop.ro/produs_ld-systems-dj-800_30456_0,"1,229 Lei",300W
https://www.zeedoshop.ro/41200-home_default/ld-systems-xs-700.jpg,https://www.zeedoshop.ro/produs_ld-systems-xs-700_30465_0,"Amplificator audio
LD Systems XS 700",https://www.zeedoshop.ro/produs_ld-systems-xs-700_30465_0,"1,329 Lei",300W
