boxe_image,boxe_url,boxe_nume,boxe_nume_url,boxe_pret,boxe_putere,boxe_greutate,boxe_inaltime
https://www.zeedoshop.ro/63235-home_default/ant-greenhead-15.jpg,https://www.zeedoshop.ro/produs_ant-greenhead-15_35887_0,"Boxa activa
ANT GREENHEAD 15",https://www.zeedoshop.ro/produs_ant-greenhead-15_35887_0,"1,583 Lei",800 W,17,100
https://www.zeedoshop.ro/78287-home_default/vonyx-vsa12bt-bi-amplified-active-speaker-12-inch-800w-bt-mp3.jpg,https://www.zeedoshop.ro/produs_vonyx-vsa12bt-bi-amplified-active-speaker-12-inch-800w-bt-mp3_40083_0,"Boxa Activa Bluetooth 12 Inch 400W RMS
Vonyx VSA12BT",https://www.zeedoshop.ro/produs_vonyx-vsa12bt-bi-amplified-active-speaker-12-inch-800w-bt-mp3_40083_0,849 Lei,800 W,17,100
https://www.zeedoshop.ro/79091-home_default/ant-mbs-10.jpg,https://www.zeedoshop.ro/produs_ant-mbs-10_35891_0,"Boxa Activa Bluetooth + Husa inclusa
ANT MBS 10",https://www.zeedoshop.ro/produs_ant-mbs-10_35891_0,"1,214 Lei",750W,17,120
https://www.zeedoshop.ro/77884-home_default/omnitronic-pas-215a-mk3.jpg,https://www.zeedoshop.ro/produs_omnitronic-pas-215a-mk3_39781_0,"Boxa activa
Omnitronic PAS-215A MK3",https://www.zeedoshop.ro/produs_omnitronic-pas-215a-mk3_39781_0,"1,889 Lei",600W,10,
https://www.zeedoshop.ro/63239-home_default/ant-redfire-12.jpg,https://www.zeedoshop.ro/produs_ant-redfire-12_35899_0,"Boxa activa
ANT REDFIRE 12",https://www.zeedoshop.ro/produs_ant-redfire-12_35899_0,"1,005 Lei",700W,10,130
https://www.zeedoshop.ro/78261-home_default/vonyx-vsa120s.jpg,https://www.zeedoshop.ro/produs_vonyx-vsa120s_40085_0,"Pereche boxe stereo amplificate
Vonyx VSA120S",https://www.zeedoshop.ro/produs_vonyx-vsa120s_40085_0,"1,349 Lei",600W,10,105
https://www.zeedoshop.ro/79090-home_default/ant-mbs-12.jpg,https://www.zeedoshop.ro/produs_ant-mbs-12_35892_0,"Boxa Activa Bluetooth + Husa inclusa
ANT MBS 12",https://www.zeedoshop.ro/produs_ant-mbs-12_35892_0,"1,349 Lei",700W,10,130
https://www.zeedoshop.ro/77892-home_default/omnitronic-pas-212a-mk3.jpg,https://www.zeedoshop.ro/produs_omnitronic-pas-212a-mk3_39780_0,"Boxa activa
Omnitronic PAS-212A MK3",https://www.zeedoshop.ro/produs_omnitronic-pas-212a-mk3_39780_0,"1,539 Lei",800W,17,115
https://www.zeedoshop.ro/70047-home_default/ld-systems-icoa-12-a-bt.jpg,https://www.zeedoshop.ro/produs_ld-systems-icoa-12-a-bt_37691_0,"Boxa Activa Bluetooth
LD Systems ICOA 12 A BT",https://www.zeedoshop.ro/produs_ld-systems-icoa-12-a-bt_37691_0,"1,399 Lei",600W,15,105
https://www.zeedoshop.ro/62029-home_default/ld-systems-stinger-12-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-stinger-12-a-g3_32022_0,"Boxa activa
LD Systems Stinger 12 A G3",https://www.zeedoshop.ro/produs_ld-systems-stinger-12-a-g3_32022_0,"2,799 Lei",800W,12,115
https://www.zeedoshop.ro/78276-home_default/vonyx-vsa15bt.jpg,https://www.zeedoshop.ro/produs_vonyx-vsa15bt_40082_0,"Boxa Activa Bluetooth 15 Inch 500W RMS
Vonyx VSA15BT",https://www.zeedoshop.ro/produs_vonyx-vsa15bt_40082_0,949 Lei,700W,12,115
https://www.zeedoshop.ro/78251-home_default/vonyx-vsa150s.jpg,https://www.zeedoshop.ro/produs_vonyx-vsa150s_40084_0,"Pereche boxe stereo amplificate
Vonyx VSA150S",https://www.zeedoshop.ro/produs_vonyx-vsa150s_40084_0,"1,449 Lei",700W,17,105
https://www.zeedoshop.ro/56357-home_default/electro-voice-zlx-15p.jpg,https://www.zeedoshop.ro/produs_electro-voice-zlx-15p_32917_0,"Boxa activa
Electro Voice ZLX-15P",https://www.zeedoshop.ro/produs_electro-voice-zlx-15p_32917_0,"2,390 Lei",800W,15,115
https://www.zeedoshop.ro/65053-home_default/pioneer-dj-xprs-15.jpg,https://www.zeedoshop.ro/produs_pioneer-dj-xprs-15_36697_0,"Boxa activa
Pioneer DJ XPRS 15",https://www.zeedoshop.ro/produs_pioneer-dj-xprs-15_36697_0,"6,669 Lei",600W,15,105
https://www.zeedoshop.ro/48084-home_default/qsc-kw122.jpg,https://www.zeedoshop.ro/produs_qsc-kw122_28666_0,"Boxa activa
QSC KW122",https://www.zeedoshop.ro/produs_qsc-kw122_28666_0,"5,382 Lei",800W,12,115
https://www.zeedoshop.ro/75508-home_default/ld-systems-mix-6-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-mix-6-a-g3_39578_0,"Boxa activa
LD Systems MIX 6 A G3",https://www.zeedoshop.ro/produs_ld-systems-mix-6-a-g3_39578_0,"1,029 Lei",600W,12,80
https://www.zeedoshop.ro/70009-home_default/ld-systems-icoa-12-a.jpg,https://www.zeedoshop.ro/produs_ld-systems-icoa-12-a_37693_0,"Boxa activa
LD Systems ICOA 12 A",https://www.zeedoshop.ro/produs_ld-systems-icoa-12-a_37693_0,"1,415 Lei",800W,12,80
https://www.zeedoshop.ro/70021-home_default/ld-systems-icoa-15-a.jpg,https://www.zeedoshop.ro/produs_ld-systems-icoa-15-a_37694_0,"Boxa activa
LD Systems ICOA 15 A",https://www.zeedoshop.ro/produs_ld-systems-icoa-15-a_37694_0,"1,639 Lei",700W,15,130
https://www.zeedoshop.ro/48588-home_default/ld-systems-stinger-8-a-g3.jpg,https://www.zeedoshop.ro/produs_ld-systems-stinger-8-a-g3_32074_0,"Boxa activa
LD Systems Stinger 8 A G3",https://www.zeedoshop.ro/produs_ld-systems-stinger-8-a-g3_32074_0,"1,775 Lei",700W,12,80
