casti_image,casti_url,casti_nume,casti_nume_url,casti_pret,casti_sensibilitate,casti_fir
https://www.zeedoshop.ro/69409-home_default/prodipe-pro-580.jpg,https://www.zeedoshop.ro/produs_prodipe-pro-580_37370_0,"Casti studio
Prodipe Pro 580",https://www.zeedoshop.ro/produs_prodipe-pro-580_37370_0,229,99dB,da
https://www.zeedoshop.ro/44917-home_default/audio-technica-ath-m50x-black.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m50x-black_25585_0,"Casti studio profesionale
Audio Technica ATH-M50X",https://www.zeedoshop.ro/produs_audio-technica-ath-m50x-black_25585_0,619,92dB,da
https://www.zeedoshop.ro/56612-home_default/audio-technica-ath-m30x.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m30x_25579_0,"Casti studio
Audio Technica ATH-M30X",https://www.zeedoshop.ro/produs_audio-technica-ath-m30x_25579_0,299,80dB,da
https://www.zeedoshop.ro/44916-home_default/audio-technica-ath-m40x.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m40x_25582_0,"Casti studio
Audio Technica ATH-M40X",https://www.zeedoshop.ro/produs_audio-technica-ath-m40x_25582_0,439,99dB,da
https://www.zeedoshop.ro/79321-home_default/audix-a140.jpg,https://www.zeedoshop.ro/produs_audix-a140_40358_0,"Casti studio profesionale
Audix A140",https://www.zeedoshop.ro/produs_audix-a140_40358_0,620,92dB,da
https://www.zeedoshop.ro/42188-home_default/superlux-hd-662-bk-evo.jpg,https://www.zeedoshop.ro/produs_superlux-hd-662-bk-evo_30929_0,"Casti de studio
Superlux HD662EVO BK",https://www.zeedoshop.ro/produs_superlux-hd-662-bk-evo_30929_0,175,80dB,da
https://www.zeedoshop.ro/67680-home_default/telefunken-thp-29-white.jpg,https://www.zeedoshop.ro/produs_telefunken-thp-29-white_37205_0,"Casti cu izolare
Telefunken THP-29 White",https://www.zeedoshop.ro/produs_telefunken-thp-29-white_37205_0,899,89dB,da
https://www.zeedoshop.ro/69929-home_default/behringer-bh-770.jpg,https://www.zeedoshop.ro/produs_behringer-bh-770_37681_0,"Casti de studio
Behringer BH 770",https://www.zeedoshop.ro/produs_behringer-bh-770_37681_0,166,99dB,da
https://www.zeedoshop.ro/46967-home_default/pioneer-hrm-5.jpg,https://www.zeedoshop.ro/produs_pioneer-hrm-5_31773_0,"Casti monitorizare studio
Pioneer HRM 5",https://www.zeedoshop.ro/produs_pioneer-hrm-5_31773_0,522,92dB,da
https://www.zeedoshop.ro/57639-home_default/shure-srh840.jpg,https://www.zeedoshop.ro/produs_shure-srh840_33596_0,"Casti de monitorizare
Shure SRH840",https://www.zeedoshop.ro/produs_shure-srh840_33596_0,578,89dB,da
https://www.zeedoshop.ro/46973-home_default/pioneer-hrm-6.jpg,https://www.zeedoshop.ro/produs_pioneer-hrm-6_31774_0,"Casti monitorizare studio
Pioneer HRM 6",https://www.zeedoshop.ro/produs_pioneer-hrm-6_31774_0,888,89dB,da
https://www.zeedoshop.ro/79322-home_default/audix-a145.jpg,https://www.zeedoshop.ro/produs_audix-a145_40359_0,"Casti studio profesionale
Audix A145",https://www.zeedoshop.ro/produs_audix-a145_40359_0,854,99dB,da
https://www.zeedoshop.ro/44920-home_default/audio-technica-ath-m70x.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m70x_30298_0,"Casti monitorizare
Audio Technica ATH-M70x",https://www.zeedoshop.ro/produs_audio-technica-ath-m70x_30298_0,1120,80dB,da
https://www.zeedoshop.ro/79323-home_default/audix-a150.jpg,https://www.zeedoshop.ro/produs_audix-a150_40360_0,"Casti studio profesionale
Audix A150",https://www.zeedoshop.ro/produs_audix-a150_40360_0,1205,80dB,da
https://www.zeedoshop.ro/79324-home_default/audix-a152.jpg,https://www.zeedoshop.ro/produs_audix-a152_40361_0,"Casti studio profesionale
Audix A152",https://www.zeedoshop.ro/produs_audix-a152_40361_0,1200,99dB,da
https://www.zeedoshop.ro/42189-home_default/superlux-hd-662-wh-evo.jpg,https://www.zeedoshop.ro/produs_superlux-hd-662-wh-evo_30930_0,"Casti de studio
Superlux HD662EVO WH",https://www.zeedoshop.ro/produs_superlux-hd-662-wh-evo_30930_0,175,80dB,da
https://www.zeedoshop.ro/50647-home_default/roland-rh-200s.jpg,https://www.zeedoshop.ro/produs_roland-rh-200s_32786_0,"Casti de monitorizare
Roland RH-200S",https://www.zeedoshop.ro/produs_roland-rh-200s_32786_0,445,80dB,da
https://www.zeedoshop.ro/45051-home_default/roland-rh-200.jpg,https://www.zeedoshop.ro/produs_roland-rh-200_31170_0,"Casti de monitorizare
Roland RH-200",https://www.zeedoshop.ro/produs_roland-rh-200_31170_0,469,92dB,nu
https://www.zeedoshop.ro/44930-home_default/audio-technica-ath-m50x-wh.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m50x-wh_25587_0,"Casti studio profesionale
Audio Technica ATH-M50X WH",https://www.zeedoshop.ro/produs_audio-technica-ath-m50x-wh_25587_0,655,99dB,nu
https://www.zeedoshop.ro/43654-home_default/roland-rh-300v.jpg,https://www.zeedoshop.ro/produs_roland-rh-300v_31169_0,"Casti de monitorizare
Roland RH-300V",https://www.zeedoshop.ro/produs_roland-rh-300v_31169_0,725,92dB,nu
https://www.zeedoshop.ro/62647-home_default/beyerdynamic-atn3600ldt-770-m.jpg,https://www.zeedoshop.ro/produs_beyerdynamic-atn3600ldt-770-m_35833_0,"Casti de studio
Beyerdynamic DT 770 M",https://www.zeedoshop.ro/produs_beyerdynamic-atn3600ldt-770-m_35833_0,749,99dB,nu
https://www.zeedoshop.ro/64237-home_default/audio-technica-ath-m60x.jpg,https://www.zeedoshop.ro/produs_audio-technica-ath-m60x_36337_0,"Casti studio profesionale
Audio Technica ATH-M60X",https://www.zeedoshop.ro/produs_audio-technica-ath-m60x_36337_0,759,89dB,nu
https://www.zeedoshop.ro/67681-home_default/telefunken-thp-29-black.jpg,https://www.zeedoshop.ro/produs_telefunken-thp-29-black_37207_0,"Casti cu izolare
Telefunken THP-29 Black",https://www.zeedoshop.ro/produs_telefunken-thp-29-black_37207_0,899,92dB,nu
https://www.zeedoshop.ro/58176-home_default/beyerdynamic-dt-880-pro.jpg,https://www.zeedoshop.ro/produs_beyerdynamic-dt-880-pro_33820_0,"Casti de studio
Beyerdynamic DT 880 PRO",https://www.zeedoshop.ro/produs_beyerdynamic-dt-880-pro_33820_0,929,92dB,nu
https://www.zeedoshop.ro/42513-home_default/sennheiser-hd-26-pro.jpg,https://www.zeedoshop.ro/produs_sennheiser-hd-26-pro_30910_0,"Casti profesionale pentru monitorizare audio
Sennheiser HD 26 PRO",https://www.zeedoshop.ro/produs_sennheiser-hd-26-pro_30910_0,"1,228",92dB,nu
https://www.zeedoshop.ro/46456-home_default/superlux-is103.jpg,https://www.zeedoshop.ro/produs_superlux-is103_31698_0,"Set de monitorizare intercom
Superlux IS103",https://www.zeedoshop.ro/produs_superlux-is103_31698_0,"2,999",99dB,nu
https://www.zeedoshop.ro/56939-home_default/beyerdynamic-dt-770-pro-250-ohm.jpg,https://www.zeedoshop.ro/produs_beyerdynamic-dt-770-pro-250-ohm_33568_0,"Casti de studio
Beyerdynamic DT 770 PRO 250 OHM",https://www.zeedoshop.ro/produs_beyerdynamic-dt-770-pro-250-ohm_33568_0,589,89dB,nu
