microfoane_image,microfoane_url,microfoane_pret,microfoane_nume,microfoane_nume_url,microfon_conectare,baterii
https://www.zeedoshop.ro/50517-home_default/superlux-eco-88s.jpg,https://www.zeedoshop.ro/produs_superlux-eco-88s_19682_0,39 Lei,"Microfon vocal
Superlux ECO 88S",https://www.zeedoshop.ro/produs_superlux-eco-88s_19682_0,cablu,baterii
https://www.zeedoshop.ro/79414-home_default/prodipe-tt1-pro.jpg,https://www.zeedoshop.ro/produs_prodipe-tt1-pro_40401_0,151 Lei,Prodipe TT1 Pro,https://www.zeedoshop.ro/produs_prodipe-tt1-pro_40401_0,wireless,baterii
https://www.zeedoshop.ro/59875-home_default/telefunken-m80.jpg,https://www.zeedoshop.ro/produs_telefunken-m80_34179_0,"1,340 Lei","Microfon vocal dinamic
Telefunken M80",https://www.zeedoshop.ro/produs_telefunken-m80_34179_0,wireless,baterii
https://www.zeedoshop.ro/45002-home_default/audio-technica-at2010.jpg,https://www.zeedoshop.ro/produs_audio-technica-at2010_13606_0,539 Lei,"Microfon vocal
Audio Technica AT2010",https://www.zeedoshop.ro/produs_audio-technica-at2010_13606_0,wireless,baterii
https://www.zeedoshop.ro/59878-home_default/telefunken-m-81.jpg,https://www.zeedoshop.ro/produs_telefunken-m-81_34181_0,"1,340 Lei","Microfon vocal dinamic
Telefunken M 81",https://www.zeedoshop.ro/produs_telefunken-m-81_34181_0,cablu,baterii
https://www.zeedoshop.ro/64809-home_default/prodipe-mc-1.jpg,https://www.zeedoshop.ro/produs_prodipe-mc-1_36574_0,356 Lei,"Microfon vocal dinamic
Prodipe MC-1",https://www.zeedoshop.ro/produs_prodipe-mc-1_36574_0,wireless,baterii
https://www.zeedoshop.ro/57499-home_default/audio-technica-atm710.jpg,https://www.zeedoshop.ro/produs_audio-technica-atm710_13336_0,749 Lei,"Microfon vocal condenser cardioid
Audio Technica ATM710",https://www.zeedoshop.ro/produs_audio-technica-atm710_13336_0,cablu,baterii
https://www.zeedoshop.ro/62427-home_default/telefunken-m80-black.jpg,https://www.zeedoshop.ro/produs_telefunken-m80-black_35490_0,"1,259 Lei","Microfon vocal dinamic
Telefunken M80 Black",https://www.zeedoshop.ro/produs_telefunken-m80-black_35490_0,wireless,baterii
https://www.zeedoshop.ro/62494-home_default/superlux-tm58.jpg,https://www.zeedoshop.ro/produs_superlux-tm58_35518_0,99 Lei,"Microfon dinamic cardioid
Superlux TM58",https://www.zeedoshop.ro/produs_superlux-tm58_35518_0,cablu,baterii
https://www.zeedoshop.ro/57631-home_default/shure-pga48-xlr.jpg,https://www.zeedoshop.ro/produs_shure-pga48-xlr_33576_0,200 Lei,"Microfon de voce
Shure PGA48-XLR",https://www.zeedoshop.ro/produs_shure-pga48-xlr_33576_0,cablu,baterii
https://www.zeedoshop.ro/58581-home_default/audix-om6.jpg,https://www.zeedoshop.ro/produs_audix-om6_33967_0,761 Lei,"Microfon de voce
Audix OM6",https://www.zeedoshop.ro/produs_audix-om6_33967_0,wireless,baterii
https://www.zeedoshop.ro/59882-home_default/telefunken-m-80-sh.jpg,https://www.zeedoshop.ro/produs_telefunken-m-80-sh_34184_0,"1,394 Lei","Microfon dinamic
Telefunken M80-SH",https://www.zeedoshop.ro/produs_telefunken-m-80-sh_34184_0,cablu,baterii
https://www.zeedoshop.ro/69849-home_default/superlux-d103.jpg,https://www.zeedoshop.ro/produs_superlux-d103_19683_0,128 Lei,"Microfon de voce
Superlux D103",https://www.zeedoshop.ro/produs_superlux-d103_19683_0,wireless,baterii
https://www.zeedoshop.ro/46338-home_default/vonyx-vx1800s.jpg,https://www.zeedoshop.ro/produs_vonyx-vx1800s_31661_0,149 Lei,"Set de 3 microfoane dinamice
Vonyx VX1800S",https://www.zeedoshop.ro/produs_vonyx-vx1800s_31661_0,cablu,baterii
https://www.zeedoshop.ro/62040-home_default/audio-technica-atm510.jpg,https://www.zeedoshop.ro/produs_audio-technica-atm510_25603_0,395 Lei,"Microfon vocal
Audio Technica ATM510",https://www.zeedoshop.ro/produs_audio-technica-atm510_25603_0,wireless,baterii
https://www.zeedoshop.ro/57501-home_default/sennheiser-e-835.jpg,https://www.zeedoshop.ro/produs_sennheiser-e-835_21863_0,407 Lei,"Microfon vocal dinamic cardioid
Sennheiser e 835",https://www.zeedoshop.ro/produs_sennheiser-e-835_21863_0,cablu,baterii
https://www.zeedoshop.ro/80043-home_default/lewitt-mtp-250-dm.jpg,https://www.zeedoshop.ro/produs_lewitt-mtp-250-dm_40635_0,425 Lei,"Microfon de voce
Lewitt MTP 250 DM",https://www.zeedoshop.ro/produs_lewitt-mtp-250-dm_40635_0,cablu,baterii
https://www.zeedoshop.ro/62384-home_default/sennheiser-e-845.jpg,https://www.zeedoshop.ro/produs_sennheiser-e-845_35469_0,450 Lei,"Microfon voce dinamic supercardioid
Sennheiser E 845",https://www.zeedoshop.ro/produs_sennheiser-e-845_35469_0,wireless,baterii
https://www.zeedoshop.ro/62367-home_default/sennheiser-e-845-s.jpg,https://www.zeedoshop.ro/produs_sennheiser-e-845-s_21867_0,475 Lei,"Microfon vocal
Sennheiser E 845-S",https://www.zeedoshop.ro/produs_sennheiser-e-845-s_21867_0,cablu,baterii
https://www.zeedoshop.ro/58578-home_default/audix-om5.jpg,https://www.zeedoshop.ro/produs_audix-om5_33966_0,586 Lei,"Microfon de voce
Audix OM5",https://www.zeedoshop.ro/produs_audix-om5_33966_0,wireless,baterii
https://www.zeedoshop.ro/59721-home_default/shure-beta-58a.jpg,https://www.zeedoshop.ro/produs_shure-beta-58a_22112_0,739 Lei,"Microfon de voce
Shure BETA 58A",https://www.zeedoshop.ro/produs_shure-beta-58a_22112_0,cablu,baterii
https://www.zeedoshop.ro/79982-home_default/lewitt-interviewer.jpg,https://www.zeedoshop.ro/produs_lewitt-interviewer_40647_0,919 Lei,"Microfon Voce Omnidirectional
Lewitt INTERVIEWER",https://www.zeedoshop.ro/produs_lewitt-interviewer_40647_0,wireless,baterii
https://www.zeedoshop.ro/58587-home_default/audix-om11.jpg,https://www.zeedoshop.ro/produs_audix-om11_33969_0,866 Lei,"Microfon de voce
Audix OM11",https://www.zeedoshop.ro/produs_audix-om11_33969_0,cablu,baterii
https://www.zeedoshop.ro/58584-home_default/audix-om7.jpg,https://www.zeedoshop.ro/produs_audix-om7_33968_0,900 Lei,"Microfon de voce
Audix OM7",https://www.zeedoshop.ro/produs_audix-om7_33968_0,cablu,baterii
https://www.zeedoshop.ro/58590-home_default/audix-vx5.jpg,https://www.zeedoshop.ro/produs_audix-vx5_33970_0,905 Lei,"Microfon de voce
Audix VX5",https://www.zeedoshop.ro/produs_audix-vx5_33970_0,wireless,baterii
https://www.zeedoshop.ro/59884-home_default/telefunken-m-81-sh.jpg,https://www.zeedoshop.ro/produs_telefunken-m-81-sh_34187_0,"1,385 Lei","Microfon dinamic
Telefunken M81-SH",https://www.zeedoshop.ro/produs_telefunken-m-81-sh_34187_0,cablu,baterii
https://www.zeedoshop.ro/62032-home_default/shure-sv100-w.jpg,https://www.zeedoshop.ro/produs_shure-sv100-w_33872_0,159 Lei,"Microfon de voce
Shure SV100-WA",https://www.zeedoshop.ro/produs_shure-sv100-w_33872_0,cablu,baterii
https://www.zeedoshop.ro/56535-home_default/superlux-singer-pack-mska.jpg,https://www.zeedoshop.ro/produs_superlux-singer-pack-mska_23214_0,149 Lei,"Set de microfon
Superlux Singer Pack MSKA",https://www.zeedoshop.ro/produs_superlux-singer-pack-mska_23214_0,wireless,baterii
