mixere_image,mixere_url,mixere_nume,mixere_nume_url,mixere_pret,mixere_port,mixere+canale
https://www.zeedoshop.ro/55704-home_default/pioneer-djm-250-mk2.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-250-mk2_33280_0,"Mixer DJ
Pioneer DJM 250 MK2",https://www.zeedoshop.ro/produs_pioneer-djm-250-mk2_33280_0,"1,628 Lei",usb,mono
https://www.zeedoshop.ro/64503-home_default/allen-heath-xone-96.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-96_36511_0,"Mixer analog DJ
Allen & Heath Xone 96",https://www.zeedoshop.ro/produs_allen-heath-xone-96_36511_0,"6,899 Lei",jack,mono
https://www.zeedoshop.ro/77694-home_default/omnitronic-gnome-202p-mini-mixer-green.jpg,https://www.zeedoshop.ro/produs_omnitronic-gnome-202p-mini-mixer-green_39783_0,"Mixer DJ Bluetooth Mini
Omnitronic GNOME-202P Green",https://www.zeedoshop.ro/produs_omnitronic-gnome-202p-mini-mixer-green_39783_0,329 Lei,usb,mono
https://www.zeedoshop.ro/50633-home_default/roland-mx-1.jpg,https://www.zeedoshop.ro/produs_roland-mx-1_32783_0,"Mix Performer
Roland MX-1",https://www.zeedoshop.ro/produs_roland-mx-1_32783_0,"2,029 Lei",usb,mono
https://www.zeedoshop.ro/58136-home_default/native-instruments-traktor-kontrol-z2.jpg,https://www.zeedoshop.ro/produs_native-instruments-traktor-kontrol-z2_33807_0,"Mixer DJ
Native Instruments Traktor Kontrol Z2",https://www.zeedoshop.ro/produs_native-instruments-traktor-kontrol-z2_33807_0,"2,379 Lei",jack,mono
https://www.zeedoshop.ro/58509-home_default/allen-heath-xone-43.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-43_34045_0,"Mixer analog DJ
Allen & Heath Xone:43",https://www.zeedoshop.ro/produs_allen-heath-xone-43_34045_0,"2,849 Lei",jack-usb,stereo
https://www.zeedoshop.ro/46878-home_default/pioneer-djm-s9.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-s9_31756_0,"Mixer DJ
Pioneer DJM S9",https://www.zeedoshop.ro/produs_pioneer-djm-s9_31756_0,"8,199 Lei",jack-usb,stereo
https://www.zeedoshop.ro/55694-home_default/pioneer-djm-900nxs2.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-900nxs2_14570_0,"Mixer DJ
Pioneer DJM 900NXS2",https://www.zeedoshop.ro/produs_pioneer-djm-900nxs2_14570_0,"10,299 Lei",jack,mono+stereo
https://www.zeedoshop.ro/71207-home_default/pioneer-djm-v10.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-v10_37955_0,"Mixer DJ
Pioneer DJM V10",https://www.zeedoshop.ro/produs_pioneer-djm-v10_37955_0,"14,999 Lei",jack,stereo
https://www.zeedoshop.ro/57453-home_default/numark-m4.jpg,https://www.zeedoshop.ro/produs_numark-m4_1178_0,"Mixer DJ
Numark M4",https://www.zeedoshop.ro/produs_numark-m4_1178_0,545 Lei,jack,stereo
https://www.zeedoshop.ro/57457-home_default/behringer-dx2000usb.jpg,https://www.zeedoshop.ro/produs_behringer-dx2000usb_25156_0,"Mixer DJ
Behringer DX2000USB",https://www.zeedoshop.ro/produs_behringer-dx2000usb_25156_0,"1,353 Lei",jack,mono+stereo
https://www.zeedoshop.ro/57464-home_default/numark-m101-black.jpg,https://www.zeedoshop.ro/produs_numark-m101-black_28587_0,"Mixer DJ
Numark M101 BLACK",https://www.zeedoshop.ro/produs_numark-m101-black_28587_0,399 Lei,jack,mono
https://www.zeedoshop.ro/57463-home_default/numark-m101usb.jpg,https://www.zeedoshop.ro/produs_numark-m101usb_28588_0,"Mixer DJ
Numark M101USB",https://www.zeedoshop.ro/produs_numark-m101usb_28588_0,420 Lei,jack,stereo
https://www.zeedoshop.ro/57449-home_default/numark-m6-usb.jpg,https://www.zeedoshop.ro/produs_numark-m6-usb_28589_0,"Mixer DJ
Numark M6 USB",https://www.zeedoshop.ro/produs_numark-m6-usb_28589_0,877 Lei,usb,mono+stereo
https://www.zeedoshop.ro/57461-home_default/numark-m2-black.jpg,https://www.zeedoshop.ro/produs_numark-m2-black_28695_0,"Mixer DJ
Numark M2 BLACK",https://www.zeedoshop.ro/produs_numark-m2-black_28695_0,449 Lei,usb,mono
https://www.zeedoshop.ro/46873-home_default/pioneer-djm-450.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-450_31755_0,"Mixer DJ
Pioneer DJM 450",https://www.zeedoshop.ro/produs_pioneer-djm-450_31755_0,"3,249 Lei",usb,mono+stereo
https://www.zeedoshop.ro/57454-home_default/denon-x-1800-prime.jpg,https://www.zeedoshop.ro/produs_denon-x-1800-prime_32194_0,"Mixer DJ
Denon X-1800 Prime",https://www.zeedoshop.ro/produs_denon-x-1800-prime_32194_0,"6,599 Lei",jack-usb,mono
https://www.zeedoshop.ro/55710-home_default/pioneer-djm-750-mk2.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-750-mk2_33281_0,"Mixer DJ
Pioneer DJM 750 MK2",https://www.zeedoshop.ro/produs_pioneer-djm-750-mk2_33281_0,"5,499 Lei",jack-usb,stereo
